day,date,time_cet,platform,product,niche,format,hook,caption,hashtags,code,lang,video_file,link
25,2026-07-10,20:00,"TikTok,Instagram,YouTube Shorts,Threads",LED Mirror Clock,US/Summer,night,Minimal desk maximum vibe,Mirror LED clock - minimal desk maximum vibe. -10% WELCOME10 - link in bio.,#deskaesthetic #ledclock #minimalist #nightroutine #luxestyle,WELCOME10,en,led_mirror_clock_night_2.mp4,https://luxestyle.com.co
26,2026-07-11,12:00,"TikTok,Instagram,YouTube Shorts,Threads",Phone Makeover Set,US/Summer,haul,Mix and match charms,Phone charms haul - mix and match. -10% WELCOME10 - link in bio.,#phonecharms #haul #phonemakeover #magsafe #luxestyle,WELCOME10,en,phone_makeover_set_haul_2.mp4,https://luxestyle.com.co
26,2026-07-11,17:30,"TikTok,Instagram,YouTube Shorts,Threads",Straw Beach Tote,US/Summer,beach-day,Beach day essentials,Beach day essentials in one roomy bag. -10% WELCOME10 - link in bio.,#beachday #strawbag #summeressentials #ootd #luxestyle,WELCOME10,en,straw_beach_tote_beachday_2.mp4,https://luxestyle.com.co
26,2026-07-11,20:00,"TikTok,Instagram,YouTube Shorts,Threads",Ultraschall-Reinigungsgeraet,Tech/Home,demo,Schmuck reinigen ohne Schrubben,Ultraschall loest Schmutz aus jeder Ritze. -10% WELCOME10 - Link in Bio.,#cleantok #ultraschall #schmuck #gadget #luxestyle,WELCOME10,de,ultraschall_reinigungsgeraet_demo_2.mp4,https://luxestyle.com.co
27,2026-07-12,12:00,"TikTok,Instagram,YouTube Shorts,Threads",Ringlicht 26cm mit Stativ,Tech/Creator,before-after,Mit vs ohne Ringlicht,Der Unterschied mit Ringlicht ist krass. -10% WELCOME10 - Link in Bio.,#ringlicht #beforeafter #content #foto #luxestyle,WELCOME10,de,ringlicht_26cm_mit_stativ_beforeafter_2.mp4,https://luxestyle.com.co
27,2026-07-12,17:30,"TikTok,Instagram,YouTube Shorts,Threads",Akupressur-Ringe Set,Wellness,howto,Stress raus in der Pause,Einfach ueberrollen - Mini-Reset fuer zwischendurch. -10% WELCOME10 - Link in Bio.,#selfcare #akupressur #stressrelief #wellness #luxestyle,WELCOME10,de,akupressur_ringe_set_howto_2.mp4,https://luxestyle.com.co
27,2026-07-12,20:00,"TikTok,Instagram,YouTube Shorts,Threads",Signet-Ring Edelstahl matt,Herren-Schmuck,gift,Geschenk-Idee fuer ihn,Zeitloses Geschenk: Siegelring aus 316L - kratzfest und edel. -10% WELCOME10 - Link in Bio.,#geschenkfuerihn #herrenring #mensgift #edelstahl #luxestyle,WELCOME10,de,signet_ring_edelstahl_matt_gift_3.mp4,https://luxestyle.com.co
28,2026-07-13,12:00,"TikTok,Instagram,YouTube Shorts,Threads",Herren-Siegelring schwarz-silber,Herren-Schmuck,styling,Schwarz oder Silber?,Schwarz-Silber Siegelring zu jedem Look. Welche Farbe? -10% WELCOME10 - Link in Bio.,#herrenmode #siegelring #ootdmen #edelstahl #luxestyle,WELCOME10,de,herren_siegelring_schwarz_si_styling_3.mp4,https://luxestyle.com.co
28,2026-07-13,17:30,"TikTok,Instagram,YouTube Shorts,Threads",Plain Band Ring gebuerstet,Herren-Schmuck,everyday,Dein Ring fuer jeden Tag,Anlauffrei und comfort-fit - faellt nie auf die Nerven. -10% WELCOME10 - Link in Bio.,#everydayring #minimalist #herrenschmuck #edelstahl #luxestyle,WELCOME10,de,plain_band_ring_gebuerstet_everyday_3.mp4,https://luxestyle.com.co
28,2026-07-13,20:00,"TikTok,Instagram,YouTube Shorts,Threads",Leder-Schluesselanhaenger Gravur,Herren/Geschenk,asmr,ASMR: Lasergravur auf Leder,Befriedigend: Gravur auf echtem Leder ✨ -10% WELCOME10 - Link in Bio.,#asmr #leder #gravur #geschenk #luxestyle,WELCOME10,de,leder_schluesselanhaenger_gr_asmr_3.mp4,https://luxestyle.com.co
29,2026-07-14,12:00,"TikTok,Instagram,YouTube Shorts,Threads",Smart Ring Titan,Tech/Wearable,unboxing,Unboxing the titanium smart ring,Premium titanium finish - days of battery. -10% WELCOME10 - link in bio.,#unboxing #smartring #tech #titanium #luxestyle,WELCOME10,en,smart_ring_titan_unboxing_3.mp4,https://luxestyle.com.co
29,2026-07-14,17:30,"TikTok,Instagram,YouTube Shorts,Threads",Waterproof Gold Jewelry Set,Schmuck,unboxing,Unboxing my waterproof gold set,Tarnish-free 18K - unboxing. -10% WELCOME10 - link in bio.,#unboxing #goldjewelry #haul #waterproofjewelry #luxestyle,WELCOME10,en,waterproof_gold_jewelry_set_unboxing_3.mp4,https://luxestyle.com.co
29,2026-07-14,20:00,"TikTok,Instagram,YouTube Shorts,Threads",Stacking-Ring Mix-Metall,Schmuck,close-up,The everyday stacking ring,Thin mixed-metal band - layer endlessly. -10% WELCOME10 - link in bio.,#stackingring #dainty #jewelry #minimal #luxestyle,WELCOME10,en,stacking_ring_mix_metall_closeup_3.mp4,https://luxestyle.com.co
30,2026-07-15,12:00,"TikTok,Instagram,YouTube Shorts,Threads",Initialen-Ring A-Z,Schmuck/Personalisiert,try-on,Adjustable for any finger,316L hypoallergenic - fits any size. -10% WELCOME10 - link in bio.,#initialring #dainty #jewelry #personalized #luxestyle,WELCOME10,en,initialen_ring_a_z_tryon_3.mp4,https://luxestyle.com.co
30,2026-07-15,17:30,"TikTok,Instagram,YouTube Shorts,Threads",Rain Cloud Aroma Diffuser,US/Summer,night,Best night-light upgrade,7 night-light colors + mist for better sleep. -10% WELCOME10 - link in bio.,#nightlight #diffuser #cozyhome #sleep #luxestyle,WELCOME10,en,rain_cloud_aroma_diffuser_night_3.mp4,https://luxestyle.com.co
30,2026-07-15,20:00,"TikTok,Instagram,YouTube Shorts,Threads",Sunset Projection Lamp,US/Summer,sale-push,Last days minus 15 percent,Last days: -15% on the whole Summer collection with code USA15. Link in bio!,#summersale #sale #tiktokshop #fyp #luxestyle,USA15,en,sunset_projection_lamp_salepush_3.mp4,https://luxestyle.com.co
